"Freq [GHz]","re(S(1 2)) []","im(S(1 2)) []"
7.5137,-0.254287999477869,-0.927347164432676
7.5138,-0.254517916148449,-0.927285555011728
7.5139,-0.25474780970762,-0.92722389038158
7.514,-0.254977680143853,-0.927162170551677
7.5141,-0.255207527445628,-0.927100395531463
7.5142,-0.25543735160142,-0.927038565330388
7.5143,-0.255667152599712,-0.926976679957899
7.5144,-0.255896930428988,-0.926914739423447
7.5145,-0.256126685077738,-0.926852743736484
7.5146,-0.256356416534453,-0.926790692906461
7.5147,-0.256586124787629,-0.926728586942834
7.5148,-0.256815809825765,-0.926666425855058
7.5149,-0.257045471637361,-0.926604209652589
7.515,-0.257275110210925,-0.926541938344887
7.5151,-0.257504725534966,-0.926479611941411
7.5152,-0.257734317597994,-0.926417230451621
7.5153,-0.257963886388527,-0.926354793884981
7.5154,-0.258193431895082,-0.926292302250954
7.5155,-0.258422954106182,-0.926229755559004
7.5156,-0.25865245301035,-0.9261671538186
7.5157,-0.258881928596121,-0.926104497039206
7.5158,-0.259111380852024,-0.926041785230295
7.5159,-0.259340809766595,-0.925979018401335
7.516,-0.259570215328374,-0.925916196561797
7.5161,-0.259799597525902,-0.925853319721157
7.5162,-0.260028956347725,-0.925790387888888
7.5163,-0.260258291782394,-0.925727401074466
7.5164,-0.260487603818459,-0.925664359287368
7.5165,-0.260716892444479,-0.925601262537073
7.5166,-0.260946157649012,-0.92553811083306
7.5167,-0.26117539942062,-0.925474904184811
7.5168,-0.261404617747869,-0.925411642601808
7.5169,-0.26163381261933,-0.925348326093535
7.517,-0.261862984023575,-0.925284954669478
7.5171,-0.26209213194918,-0.925221528339122
7.5172,-0.262321256384723,-0.925158047111957
7.5173,-0.26255035731879,-0.925094510997471
7.5174,-0.262779434739966,-0.925030920005153
7.5175,-0.26300848863684,-0.924967274144498
7.5176,-0.263237518998006,-0.924903573424997
7.5177,-0.26346652581206,-0.924839817856146
7.5178,-0.263695509067601,-0.92477600744744
7.5179,-0.263924468753232,-0.924712142208376
7.518,-0.264153404857561,-0.924648222148453
