"extra_lon [mm]","Sub_xoff [mm]","Freq [GHz]","re(S(1 2)) []","im(S(1 2)) []"
0,1,7.4,-0.110188597769733,-0.903604245184939
0,1,7.40300751879699,-0.117223636507434,-0.902802418571228
0,1,7.40601503759398,-0.124247534381059,-0.901944174838117
0,1,7.40902255639098,-0.131260007216203,-0.901029594190221
0,1,7.41203007518797,-0.138260777772459,-0.900058750073792
0,1,7.41503759398496,-0.145249581908628,-0.899031704689166
0,1,7.41804511278195,-0.152226160443174,-0.89794851365222
0,1,7.42105263157895,-0.159190270239661,-0.89680921812691
0,1,7.42406015037594,-0.166141673599594,-0.895613851079693
0,1,7.42706766917293,-0.173080149300602,-0.894362429156488
0,1,7.43007518796992,-0.180005487360024,-0.893054955332458
0,1,7.43308270676692,-0.186917493263236,-0.891691414949336
0,1,7.43609022556391,-0.193815983033752,-0.890271778300068
0,1,7.4390977443609,-0.200700792100908,-0.888795993060421
0,1,7.4421052631579,-0.207571772814926,-0.887263984791803
0,1,7.44511278195489,-0.214428797012679,-0.885675653557193
0,1,7.44812030075188,-0.221271755181678,-0.884030873001824
0,1,7.45112781954887,-0.228100560003118,-0.882329485949851
0,1,7.45413533834586,-0.23491514953436,-0.880571299875384
0,1,7.45714285714286,-0.241715488958637,-0.878756083304801
0,1,7.46015037593985,-0.248501572675928,-0.876883561590647
0,1,7.46315789473684,-0.255273426852881,-0.874953412031762
0,1,7.46616541353383,-0.262031116103648,-0.872965255175837
0,1,7.46917293233083,-0.268774742598655,-0.870918651835168
0,1,7.47218045112782,-0.275504455229134,-0.868813091253988
0,1,7.47518796992481,-0.282220453643243,-0.866647982717288
0,1,7.4781954887218,-0.288922993337364,-0.864422645680333
0,1,7.4812030075188,-0.295612393906566,-0.862136296132924
0,1,7.48421052631579,-0.302289048699457,-0.859788030536759
0,1,7.48721804511278,-0.308953432418587,-0.857376810388505
0,1,7.49022556390977,-0.315606115886872,-0.854901438476529
0,1,7.49323308270677,-0.322247778734792,-0.85236053526627
0,1,7.49624060150376,-0.328879222926758,-0.849752512158897
0,1,7.49924812030075,-0.335501399240931,-0.847075529416477
0,1,7.50225563909774,-0.342115426227714,-0.844327457779382
0,1,7.50526315789474,-0.348722619697776,-0.841505825535481
0,1,7.50827067669173,-0.355324528188983,-0.838607754038701
0,1,7.51127819548872,-0.361922979447268,-0.835629874930949
0,1,7.51428571428571,-0.368520127081028,-0.832568238727901
0,1,7.51729323308271,-0.375118521260268,-0.829418186693887
0,1,7.5203007518797,-0.381721188859316,-0.826174198209151
0,1,7.52330827067669,-0.388331738459761,-0.822829691954258
0,1,7.52631578947368,-0.394954493458626,-0.819376770688742
0,1,7.52932330827068,-0.401594660901502,-0.815805891816681
0,1,7.53233082706767,-0.40825855464841,-0.812105429429694
0,1,7.53533834586466,-0.414953889564933,-0.808261088864905
0,1,7.53834586466165,-0.421690170896944,-0.804255117064233
0,1,7.54135338345865,-0.428479226189687,-0.800065208914303
0,1,7.54436090225564,-0.435335931038566,-0.795662980411446
0,1,7.54736842105263,-0.442279236324884,-0.791011768193237
0,1,7.55037593984962,-0.449333624215066,-0.786063419388727
0,1,7.55338345864662,-0.456531243933473,-0.780753449355341
0,1,7.55639097744361,-0.4639151072664,-0.774993535732427
0,1,7.5593984962406,-0.471544009534682,-0.768659463706298
0,1,7.56240601503759,-0.479500354788094,-0.761570948655074
0,1,7.56541353383459,-0.487903052407702,-0.753456166101551
0,1,7.56842105263158,-0.49692963735394,-0.743885579652377
0,1,7.57142857142857,-0.506855912454199,-0.732138966230772
0,1,7.57443609022556,-0.518129913809556,-0.716911759462794
0,1,7.57744360902256,-0.531511756433939,-0.695579814347269
0,1,7.58045112781955,-0.548296997559982,-0.662006953398099
0,1,7.58345864661654,-0.569961039074646,-0.598049361448539
0,1,7.58646616541353,-0.57985706091001,-0.423374402884376
0,1,7.58947368421053,0.248201036560342,-0.122377180114212
0,1,7.59248120300752,-0.189201335412157,-0.981855186456678
0,1,7.59548872180451,-0.376232504130212,-0.904521568276978
0,1,7.5984962406015,-0.43572753295465,-0.859787485102202
0,1,7.6015037593985,-0.466033029878763,-0.832848135592647
0,1,7.60451127819549,-0.485575579399741,-0.814389204218329
0,1,7.60751879699248,-0.500029536196358,-0.800499145703257
0,1,7.61052631578947,-0.51168460715219,-0.789322634822623
0,1,7.61353383458647,-0.521634280310497,-0.779877676936038
0,1,7.61654135338346,-0.530464588677622,-0.771598567883572
0,1,7.61954887218045,-0.538517125859326,-0.764137291925109
0,1,7.62255639097744,-0.546004149540462,-0.757268335341792
0,1,7.62556390977444,-0.553064354690182,-0.750839302749481
0,1,7.62857142857143,-0.559792125731726,-0.744743588088116
0,1,7.63157894736842,-0.566253875847419,-0.73890443516805
0,1,7.63458646616541,-0.572497664737074,-0.733265210547748
0,1,7.63759398496241,-0.578559106632861,-0.727783245891721
0,1,7.6406015037594,-0.584465139614074,-0.722425804077475
0,1,7.64360902255639,-0.59023650085785,-0.717167372996051
0,1,7.64661654135338,-0.595889405767946,-0.711987789817421
0,1,7.64962406015038,-0.601436705413755,-0.706870928875347
0,1,7.65263157894737,-0.606888711601078,-0.701803747645719
0,1,7.65563909774436,-0.612253784847795,-0.696775601956843
0,1,7.65864661654135,-0.61753877146911,-0.691777726430329
0,1,7.66165413533835,-0.622749326639353,-0.686802847685736
0,1,7.66466165413534,-0.627890156108503,-0.681844893566482
0,1,7.66766917293233,-0.632965205560994,-0.676898759775437
0,1,7.67067669172932,-0.637977803765568,-0.671960134157547
0,1,7.67368421052632,-0.642930774748653,-0.667025358021289
0,1,7.67669172932331,-0.64782652727187,-0.662091313722109
0,1,7.6796992481203,-0.652667127020037,-0.657155332468848
0,1,7.68270676691729,-0.65745435065947,-0.65221512834979
0,1,7.68571428571429,-0.6621897354045,-0.647268731707792
0,1,7.68872180451128,-0.666874612883572,-0.642314449462516
0,1,7.69172932330827,-0.671510142832076,-0.637350818489524
0,1,7.69473684210526,-0.676097337376801,-0.632376575466196
0,1,7.69774436090226,-0.680637081808055,-0.627390630113038
0,1,7.70075187969925,-0.685130152582489,-0.622392041397637
0,1,7.70375939849624,-0.68957723359925,-0.617379994030815
