"res_width [mm]","Matrix1.C(Voltage4 Voltage3) [fF]"
0.6,-186.73723465438
0.5,-182.859242785341
0.7,-189.473218376616
0.8,-194.978936184555
0.9,-195.494800126477
1,-199.84599876372
1.1,-201.128870541233
1.2,-204.554837294665
1.3,-207.129614605237
1.4,-207.409783956027
1.5,-211.332873482288
